,age_band_of_driver,vehicle_type,age_of_vehicle,weather_conditions,day_of_week,road_surface_conditions,light_conditions,sex_of_driver,season,speed_limit,accident_seriousness
0,16-25,Car,7,Fine no high winds,Tuesday,Wet or damp,Darkness - no lighting,Male,Winter,60,Fatal
1,26-45,Motorcycle,7,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,40,Fatal
2,26-45,Motorcycle,7,Fine no high winds,Saturday,Dry,Darkness - no lighting,Male,Summer,70,Fatal
3,46-65,Other Vehicle,7,Snowing no high winds,Tuesday,Snow,Darkness - lights lit,Male,Rainy,50,Fatal
4,46-65,Other Vehicle,7,Snowing no high winds,Tuesday,Snow,Darkness - lights lit,Male,Autumn,50,Fatal
5,16-25,Car,7,Fine no high winds,Tuesday,Wet or damp,Daylight,Male,Rainy,60,Fatal
6,46-65,Other Vehicle,7,Snowing no high winds,Tuesday,Snow,Darkness - lights lit,Male,Winter,50,Fatal
7,46-65,Other Vehicle,7,Snowing no high winds,Tuesday,Snow,Darkness - lights lit,Male,Autumn,50,Fatal
8,16-25,Motorcycle,7,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,60,Fatal
9,16-25,Other Vehicle,7,Fine no high winds,Sunday,Wet or damp,Darkness - no lighting,Male,Winter,60,Fatal
10,26-45,Car,7,Fine no high winds,Friday,Dry,Daylight,Male,Summer,70,Fatal
11,16-25,Motorcycle,7,Fine no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
12,26-45,Motorcycle,7,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,30,Fatal
13,46-65,Goods Vehicle,7,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,50,Fatal
14,16-25,Motorcycle,7,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,60,Fatal
15,16-25,Motorcycle,7,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,60,Fatal
16,16-25,Car,7,Fine no high winds,Thursday,Dry,Daylight,Male,Winter,70,Fatal
17,16-25,Motorcycle,7,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Summer,20,Fatal
18,16-25,Motorcycle,7,Fine no high winds,Sunday,Dry,Darkness - lights lit,Male,Winter,30,Fatal
19,16-25,Motorcycle,7,Fine no high winds,Tuesday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
20,16-25,Car,7,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Winter,30,Fatal
21,16-25,Motorcycle,7,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Fatal
22,16-25,Car,7,Fine no high winds,Sunday,Dry,Darkness - lights lit,Male,Rainy,30,Fatal
23,16-25,Car,7,Fine no high winds,Tuesday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
24,16-25,Car,7,Fine no high winds,Sunday,Dry,Darkness - lights lit,Male,Rainy,30,Fatal
25,26-45,Motorcycle,7,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Rainy,30,Fatal
26,26-45,Motorcycle,7,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,30,Fatal
27,46-65,Motorcycle,7,Raining no high winds,Saturday,Wet or damp,Daylight,Male,Summer,40,Fatal
28,Over 65,Car,7,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Summer,50,Fatal
29,Over 65,Car,7,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Summer,50,Fatal
30,16-25,Motorcycle,7,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,70,Fatal
31,26-45,Car,7,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,70,Fatal
32,26-45,Car,7,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,70,Fatal
33,26-45,Car,7,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Summer,70,Fatal
34,16-25,Car,7,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
35,16-25,Car,7,Fine no high winds,Wednesday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
36,16-25,Car,7,Fine no high winds,Wednesday,Wet or damp,Darkness - lights lit,Male,Summer,30,Fatal
37,16-25,Car,7,Raining no high winds,Tuesday,Wet or damp,Daylight,Male,Autumn,40,Fatal
38,46-65,Motorcycle,7,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,40,Fatal
39,26-45,Motorcycle,7,Fine no high winds,Monday,Dry,Daylight,Male,Rainy,50,Fatal
40,46-65,Motorcycle,7,Fine + high winds,Tuesday,Dry,Daylight,Male,Summer,50,Fatal
41,46-65,Motorcycle,7,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Summer,50,Fatal
43,16-25,Car,7,Fine no high winds,Sunday,Wet or damp,Darkness - no lighting,Male,Summer,60,Fatal
44,16-25,Car,7,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Rainy,30,Fatal
45,16-25,Car,7,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Rainy,30,Fatal
46,16-25,Car,7,Fine no high winds,Sunday,Wet or damp,Darkness - lights lit,Female,Rainy,30,Fatal
47,26-45,Motorcycle,7,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Autumn,30,Fatal
48,26-45,Motorcycle,7,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
49,46-65,Car,7,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,40,Fatal
50,26-45,Motorcycle,7,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,50,Fatal
51,16-25,Car,7,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Rainy,60,Fatal
52,26-45,Motorcycle,7,Fine no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Summer,70,Fatal
53,16-25,Car,6,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
54,16-25,Car,6,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,30,Fatal
55,16-25,Car,6,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Summer,30,Fatal
56,16-25,Car,6,Fine no high winds,Monday,Dry,Darkness - lights lit,Female,Summer,30,Fatal
57,16-25,Car,6,Raining no high winds,Monday,Wet or damp,Darkness - lights lit,Male,Autumn,30,Fatal
58,16-25,Motorcycle,6,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,30,Fatal
59,26-45,Car,6,Fine no high winds,Tuesday,Dry,Darkness - lights lit,Male,Rainy,30,Fatal
60,26-45,Motorcycle,6,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Fatal
61,16-25,Motorcycle,6,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Rainy,40,Fatal
62,26-45,Car,6,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,40,Fatal
63,46-65,Car,6,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Winter,40,Fatal
64,46-65,Car,6,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,40,Fatal
65,16-25,Motorcycle,6,Raining no high winds,Friday,Wet or damp,Daylight,Male,Summer,50,Fatal
66,26-45,Motorcycle,6,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Summer,50,Fatal
67,Over 65,Car,6,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,50,Fatal
68,16-25,Motorcycle,6,Raining no high winds,Tuesday,Wet or damp,Darkness - lights lit,Male,Summer,60,Fatal
69,16-25,Car,6,Fine no high winds,Sunday,Dry,Daylight,Male,Autumn,60,Fatal
70,16-25,Motorcycle,6,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,60,Fatal
71,16-25,Motorcycle,6,Fine no high winds,Saturday,Dry,Daylight,Male,Winter,60,Fatal
72,16-25,Car,6,Raining no high winds,Wednesday,Wet or damp,Daylight,Male,Winter,60,Fatal
73,16-25,Car,6,Fine + high winds,Sunday,Frost or ice,Daylight,Male,Autumn,60,Fatal
74,16-25,Car,6,Fine no high winds,Sunday,Dry,Daylight,Male,Autumn,60,Fatal
75,26-45,Motorcycle,6,Raining no high winds,Saturday,Wet or damp,Daylight,Male,Winter,70,Fatal
76,26-45,Car,6,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,20,Fatal
77,26-45,Car,6,Fine no high winds,Thursday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
78,26-45,Motorcycle,6,Fine no high winds,Thursday,Wet or damp,Daylight,Male,Autumn,30,Fatal
79,26-45,Goods Vehicle,6,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,30,Fatal
80,26-45,Motorcycle,6,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,30,Fatal
81,26-45,Car,6,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Fatal
82,26-45,Car,6,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Fatal
83,16-25,Other Vehicle,6,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,40,Fatal
84,26-45,Motorcycle,6,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Winter,40,Fatal
85,26-45,Motorcycle,6,Fine no high winds,Friday,Dry,Daylight,Male,Summer,40,Fatal
86,16-25,Car,6,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,50,Fatal
87,26-45,Car,6,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,50,Fatal
88,16-25,Motorcycle,6,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,60,Fatal
89,16-25,Car,6,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Summer,60,Fatal
90,16-25,Motorcycle,6,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Autumn,60,Fatal
91,16-25,Bus,6,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,60,Fatal
92,16-25,Motorcycle,6,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,60,Fatal
93,16-25,Car,6,Fine no high winds,Sunday,Wet or damp,Daylight,Female,Rainy,60,Fatal
94,16-25,Motorcycle,6,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Winter,30,Fatal
95,16-25,Car,6,Fine no high winds,Friday,Wet or damp,Daylight,Male,Rainy,30,Fatal
96,16-25,Motorcycle,6,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Fatal
97,16-25,Car,6,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,30,Fatal
98,16-25,Motorcycle,6,Fine no high winds,Monday,Dry,Daylight,Male,Rainy,30,Fatal
99,16-25,Car,6,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
100,16-25,Motorcycle,6,Fine no high winds,Tuesday,Dry,Darkness - lights lit,Male,Winter,30,Fatal
101,16-25,Motorcycle,6,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,30,Fatal
102,26-45,Car,6,Fine no high winds,Sunday,Wet or damp,Darkness - lights lit,Male,Summer,30,Fatal
103,26-45,Car,6,Fine no high winds,Sunday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
104,26-45,Car,6,Fine no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Summer,30,Fatal
105,26-45,Motorcycle,6,Fine no high winds,Friday,Dry,Daylight,Male,Winter,30,Fatal
106,26-45,Car,6,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,30,Fatal
107,26-45,Motorcycle,6,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,30,Fatal
108,26-45,Car,6,Fine no high winds,Monday,Dry,Daylight,Female,Winter,30,Fatal
109,26-45,Car,6,Fine no high winds,Monday,Dry,Daylight,Female,Summer,30,Fatal
110,26-45,Car,6,Fine no high winds,Tuesday,Wet or damp,Darkness - lights lit,Male,Autumn,40,Fatal
111,26-45,Car,6,Fine no high winds,Tuesday,Wet or damp,Darkness - lights lit,Male,Autumn,40,Fatal
112,26-45,Car,6,Raining + high winds,Friday,Wet or damp,Darkness - lights lit,Male,Summer,40,Fatal
113,26-45,Motorcycle,6,Raining no high winds,Tuesday,Wet or damp,Daylight,Male,Summer,40,Fatal
114,26-45,Car,6,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Summer,40,Fatal
115,26-45,Motorcycle,6,Mud,Tuesday,Wet or damp,Daylight,Male,Summer,40,Fatal
116,26-45,Car,6,Raining no high winds,Sunday,Wet or damp,Daylight,Female,Rainy,40,Fatal
117,46-65,Car,6,Raining no high winds,Tuesday,Wet or damp,Darkness - no lighting,Male,Autumn,40,Fatal
118,46-65,Motorcycle,6,Fine no high winds,Thursday,Dry,Daylight,Male,Winter,40,Fatal
119,Over 65,Car,6,Fine no high winds,Thursday,Dry,Daylight,Female,Summer,40,Fatal
120,16-25,Car,6,Fine no high winds,Wednesday,Wet or damp,Darkness - no lighting,Male,Rainy,50,Fatal
121,16-25,Car,6,Snowing no high winds,Saturday,Wet or damp,Darkness - no lighting,Male,Winter,50,Fatal
122,26-45,Car,6,Fine no high winds,Friday,Dry,Darkness - lights unlit,Male,Summer,50,Fatal
123,26-45,Motorcycle,6,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,50,Fatal
124,Over 65,Car,6,Fine + high winds,Tuesday,Dry,Daylight,Male,Rainy,50,Fatal
125,Over 65,Car,6,Fine no high winds,Thursday,Wet or damp,Daylight,Male,Summer,50,Fatal
126,Over 65,Car,6,Fine no high winds,Friday,Wet or damp,Daylight,Male,Summer,50,Fatal
127,16-25,Car,6,Raining no high winds,Wednesday,Wet or damp,Daylight,Male,Summer,60,Fatal
128,16-25,Car,6,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Winter,60,Fatal
129,16-25,Car,6,Fine no high winds,Saturday,Wet or damp,Darkness - no lighting,Male,Summer,60,Fatal
130,16-25,Car,6,Fog or mist,Saturday,Frost or ice,Darkness - no lighting,Female,Winter,60,Fatal
131,16-25,Car,6,Fine no high winds,Saturday,Dry,Daylight,Male,Winter,60,Fatal
